inc	author	mean	SD	lwr	upr
1	Avens	8.8	0.1	8.7	8.9
2	Avens	6.6	4.8	1.3	13.7
3	Avens	2.6	1.1	0.7	4.7
4	Avens	2.6	1.4	0.1	7.3
5	Avens	2.8	1.6	0.1	14
6	Avens	3.1	2	0.1	11.7
7	Avens	2.2	1.6	0	7
8	Avens	2.1	1.4	0	6.8
9	Avens	1	1.1	0	4.4
10	Avens	0.2	0.4	0	3.2
11	Avens	0.2	0.3	0	1.8
4	Bjorndal	5.9	0	2.9	8.9
6	Bjorndal	2.4	2.5	-1.4	12.6
7	Bjorndal	1.5	1.5	-0.8	8.8
8	Bjorndal	1.1	1.1	-0.5	5.8
9	Bjorndal	0.2	0.4	-0.7	2.5
10	Bjorndal	0.2	0.5	-0.8	2.2
11	Bjorndal	0.2	0.1	0.1	0.3
6	McNeill	1.58	0	-1	5.7
7	McNeill	1.82	0	-0.2	6.1
8	McNeill	1.63	0	0.1	7.3
