Project	id	id_from_study	SCL	humerus	study	year	nLAG	a0	sexID
Larissa	1	1	63.3	24.6433121	1	2001	14	0	2
Larissa	2	2	53.4	21.50636943	1	2003	10	0	2
Larissa	3	3	39.2	14.69426752	1	1975	10	0	2
Larissa	4	4	29.4	11.66878981	1	1980	3	1	2
Larissa	5	5	51.6	21.05732484	1	1980	8	0	2
Larissa	6	6	46.5	17.03503185	1	1983	6	0	2
Larissa	7	7	22.1	9.133757962	1	1984	2	1	2
Larissa	8	8	23.3	9.296178344	1	1994	3	1	2
Larissa	9	9	41.4	15.42038217	1	1994	6	0	2
Larissa	10	10	17.6	7.194267516	1	1996	2	1	2
Larissa	11	11	47.3	17.40127389	1	2000	10	0	2
Larissa	12	12	63.6	22.64	1	2003	6	0	2
Larissa	13	13	53.6	21.9044586	1	2010	10	0	1
Larissa	14	14	81.9	31.77908225	1	2009	15	0	1
Larissa	15	15	62.8	25.27388535	1	2003	14	0	2
Larissa	16	16	52.4	19.89171975	1	1998	6	0	2
Larissa	17	17	64.1	26.22611465	1	1998	8	0	2
Larissa	18	18	63.6	24.54458599	1	2009	10	0	2
Larissa	19	19	51.5	19.8089172	1	2010	10	0	2
Larissa	20	20	64.7	24.6158164	1	2004	7	0	0
Larissa	21	21	47.9	19.98726115	1	2001	9	0	2
Larissa	22	22	23.1	9.439490446	1	2000	2	0	0
Larissa	23	23	59.2	24.44496112	1	2002	12	0	2
Larissa	24	24	64.3	21.36942675	1	2003	8	0	1
Larissa	25	25	48.2	18.72929936	1	1997	7	0	2
Larissa	26	26	48.8	17.90764331	1	2001	10	0	0
Larissa	27	27	44	15.11	1	2003	6	0	2
Larissa	28	28	83.3	32.52578311	1	2007	6	0	0
Larissa	29	29	80.9	33.39904343	1	2008	18	0	1
Larissa	30	30	88.6	34.15840023	1	2008	11	0	1
Larissa	31	31	49.1	18.57961783	1	2001	12	0	2
Larissa	32	32	51.2	19.4522293	1	2007	12	0	2
Larissa	33	33	55.1	22.99363057	1	2007	9	0	2
Larissa	34	34	87.7	32.22204038	1	2007	19	0	0
Larissa	35	35	73.9	25.38216561	1	1999	4	0	1
Larissa	36	36	70.7	24.65286624	1	1999	6	0	1
Larissa	37	37	49.9	16.75	1	2003	5	0	0
Larissa	38	38	62.5	24.80254777	1	2005	17	0	0
Larissa	39	39	87.2	31.51330737	1	2005	8	0	1
Larissa	40	40	64.8	26.50636943	1	2003	7	0	0
Larissa	41	41	81.5	31.24753249	1	2003	9	0	0
Larissa	42	42	84.6	33.43701127	1	2004	13	0	1
Larissa	43	43	86.5	35.84164115	1	2004	12	0	1
Larissa	44	44	80	33.15858044	1	2005	7	0	1
Larissa	45	45	61.2	24.92356688	1	2004	8	0	1
Larissa	46	46	64.5	25.92038217	1	2005	9	0	0
Larissa	47	47	59.3	23.07811887	1	1997	10	0	2
Larissa	48	48	57.1	21.98407643	1	1997	6	0	1
Larissa	49	49	59.5	22.00636943	1	2004	13	0	2
Larissa	50	50	88.5	35.86695304	1	2004	15	0	0
Larissa	51	51	53	20.59872611	1	2010	6	0	2
Larissa	52	52	52.1	22.09235669	1	2010	10	0	0
Larissa	53	53	58.3	21.26433121	1	2010	13	0	2
Larissa	54	54	60.3	23.87261146	1	2010	13	0	0
Larissa	55	55	56.4	22.57820897	1	2007	7	0	2
Larissa	56	56	53.3	20.64968153	1	1999	7	0	2
Larissa	57	57	64.4	26.35987261	1	2006	12	0	2
Larissa	58	58	33.3	13.68152866	1	2000	4	0	2
Larissa	59	59	45	16.35350318	1	1997	10	0	2
Larissa	60	60	51.3	18.92038217	1	2009	10	0	2
Larissa	61	61	59.3	21.93312102	1	2004	12	0	2
Larissa	62	62	53.7	19.47133758	1	2004	7	0	2
Larissa	63	63	77.93	31.07034923	1	2005	15	0	2
Larissa	64	64	57	21.98726115	1	1998	8	0	2
Larissa	65	65	53.7	23.6910828	1	1997	9	0	2
Larissa	66	66	80.7	32.63968663	1	2007	12	0	0
Larissa	67	67	56.3	21.69745223	1	1997	10	0	0
Larissa	68	68	56.7	22.97452229	1	1998	8	0	2
Larissa	69	69	46.5	18.70700637	1	2000	12	0	2
Larissa	70	70	61.5	21.95541401	1	1997	11	0	2
Larissa	71	71	59.4	25.57961783	1	1997	9	0	2
Larissa	72	72	48.4	19.81847134	1	1999	5	0	2
Larissa	73	73	87.3	33.39271546	1	2010	15	0	1
Larissa	74	74	53.3	22.6910828	1	1997	6	0	1
Larissa	75	75	48.9	18.2611465	1	2003	9	0	2
Larissa	76	76	52.9	21.07006369	1	2003	6	0	2
Larissa	77	77	56.5	22.84394904	1	2004	9	0	2
Larissa	78	78	57.1	22.23248408	1	2004	9	0	2
Larissa	79	79	50.4	19.58280255	1	2007	11	0	2
Larissa	80	80	67.2	25.33121	1	1991	10	0	0
Larissa	81	81	59.5	25.09674237	1	2004	10	0	1
Larissa	82	82	57.4	22.68471338	1	2000	5	0	2
Larissa	83	83	63.8	25.69745223	1	1997	10	0	0
Larissa	84	84	75.4	27.12101911	1	1999	7	0	1
Larissa	85	85	54	23.01910828	1	1997	12	0	2
Larissa	86	86	57.8	23.42038217	1	1998	8	0	2
Larissa	87	87	55.6	22.01501934	1	1998	13	0	2
Larissa	88	88	49.5	20.2866242	1	1998	6	0	2
Larissa	89	89	67.1	25.03184713	1	1999	4	0	2
Larissa	90	90	53.9	20.77707006	1	2008	11	0	0
Larissa	91	91	59.7	23.12101911	1	1997	8	0	2
Larissa	92	92	67.5	26.75159236	1	2003	6	0	2
Larissa	93	93	49.8	18.94904459	1	2000	8	0	1
Larissa	94	94	59.5	24.59683248	1	2001	11	0	2
Larissa	95	95	60.4	24.35031847	1	2003	9	0	2
Larissa	96	96	55.3	21.62420382	1	2003	11	0	2
Larissa	97	97	58.6	22.1910828	1	2003	12	0	1
Larissa	98	98	60	23.35987261	1	2004	10	0	2
Larissa	99	99	62.1	22.87261146	1	2004	3	0	0
Larissa	100	100	56.2	20.98988766	1	2004	11	0	2
Larissa	101	101	59.3	22.83121019	1	2004	9	0	2
Larissa	102	102	62.4	24.42993631	1	2004	8	0	2
Larissa	103	103	51.5	20.72929936	1	2004	10	0	2
Larissa	104	104	54.1	21.43312102	1	2004	11	0	2
Larissa	105	105	54.8	23.61146497	1	1997	9	0	2
Larissa	106	106	62.8	24.70382166	1	1997	11	0	2
Larissa	107	107	62.2	24.28343949	1	1997	9	0	1
Larissa	108	108	48.2	18.67515924	1	1997	6	0	2
Larissa	109	109	58.8	23.1656051	1	1998	14	0	2
Larissa	110	110	57.7	22.34713376	1	1998	10	0	1
Larissa	111	111	48.2	24.66242038	1	1998	12	0	2
Larissa	112	112	52.8	23.81847134	1	1998	9	0	0
Larissa	113	113	56.4	22.81234399	1	1998	9	0	1
Larissa	114	114	62.5	25.15923567	1	1997	9	0	2
Larissa	115	115	55.1	21.96496815	1	1999	7	0	0
Larissa	116	116	46.8	17.85987261	1	2009	11	0	0
Larissa	117	117	48.2	19.05	1	1999	9	0	2
Larissa	118	118	51.5	20.37607424	1	1997	8	0	0
Larissa	119	119	63	27.98229823	1	2007	11	0	2
Larissa	120	120	62.8	24.78025478	1	2003	4	0	0
Larissa	121	121	54.1	25.67834395	1	2008	6	0	2
Larissa	122	122	88.4	33.41802735	1	2007	15	0	0
Larissa	123	123	85.4	33.70911413	1	2007	7	0	0
Larissa	124	124	61.6	22.46496815	1	2008	12	0	1
Larissa	125	125	60	23.89808917	1	2008	8	0	2
Larissa	126	126	60.8	23.73248408	1	2003	17	0	2
Larissa	127	127	62.7	21.99363057	1	2003	9	0	2
Larissa	128	128	57.6	24.02229299	1	1998	8	0	2
Larissa	129	129	58.5	24.34394904	1	2002	11	0	2
Larissa	130	130	86.5	34.08246455	1	2003	11	0	0
Larissa	131	131	52.2	19.80254777	1	1997	9	0	2
Larissa	132	132	46.4	18.22611465	1	2000	5	0	0
Larissa	133	133	45.8	17.11146497	1	1997	7	0	2
Larissa	134	134	57.8	22.14790678	1	2005	9	0	2
Larissa	135	135	55.1	22.51592357	1	2004	11	0	2
Larissa	136	136	46.4	17.18152866	1	1998	5	0	2
Larissa	137	137	65.8	21.60191083	1	2001	8	0	2
Larissa	138	138	51.1	18.67515924	1	2000	7	0	2
Larissa	139	139	61.4	23.76153999	1	2006	7	0	0
Larissa	140	140	64.4	25.79281944	1	2003	7	0	2
Larissa	141	141	53.5	22.36624204	1	2003	10	0	2
Larissa	142	142	62.4	23.18152866	1	2004	9	0	2
Larissa	143	143	55.3	21.03184713	1	2004	16	0	2
Larissa	144	144	61.2	22.57961783	1	2004	9	0	2
Larissa	145	145	64.5	25.0904144	1	2004	10	0	2
Larissa	146	146	45	19.47133758	1	1998	9	0	2
Larissa	147	147	64.9	27.32165605	1	2003	9	0	2
Larissa	148	148	56.6	22.50636943	1	2005	10	0	0
Larissa	149	149	84.9	36.31623915	1	2006	6	0	1
Larissa	150	150	49	18.55095541	1	2007	6	0	0
Larissa	151	151	81.4	34.76588568	1	2007	11	0	0
Larissa	152	152	43.6	14.72929936	1	1998	4	0	2
Larissa	153	153	51.1	23.31210191	1	1998	11	0	2
Larissa	154	154	76.05	31.24753249	1	2007	8	0	0
Larissa	155	155	51.2	19.79299363	1	2009	9	0	2
Larissa	156	156	48	15.39808917	1	1998	6	0	2
Larissa	157	157	56.5	19.70382166	1	1997	7	0	2
Larissa	158	158	59.4	22.02866242	1	1998	12	0	1
Larissa	159	159	62.6	26.3566879	1	2010	9	0	0
Larissa	160	160	62.4	25.41946901	1	2005	6	0	2
Larissa	161	161	62.5	25.04611859	1	2005	9	0	0
Larissa	162	162	62.8	23.15286624	1	2005	10	0	0
Larissa	163	163	61.1	23.97036311	1	1997	7	0	0
Larissa	164	164	63.8	23.67834395	1	1997	7	0	2
Larissa	165	165	65.8	21.51910828	1	1997	8	0	0
Larissa	166	166	59.4	23.92993631	1	1997	11	0	2
Larissa	167	167	59.5	20.73248408	1	2009	8	0	2
Larissa	168	168	58.8	24.03184713	1	1997	11	0	2
Larissa	169	169	45.2	20.30254777	1	1997	10	0	2
Larissa	170	170	52.4	19.57006369	1	2000	7	0	2
Larissa	171	171	59	21.62420382	1	2007	13	0	1
Larissa	172	172	50	17.15605096	1	2000	4	0	2
Larissa	173	173	61.6	23.48089172	1	2005	11	0	2
Larissa	174	174	53.5	19.24840764	1	1999	6	0	2
Larissa	175	175	50.3	17.89808917	1	2001	6	0	0
Larissa	176	176	45.8	18.57006369	1	2001	7	0	2
Larissa	177	177	56.6	22.14968153	1	1997	7	0	2
Larissa	178	178	54.9	20.29299363	1	1997	10	0	2
Larissa	179	179	45.2	16.70063694	1	1997	5	0	1
Larissa	180	180	49	23.79617834	1	1997	6	0	2
Larissa	181	181	48.3	23.96815287	1	1997	6	0	0
Larissa	182	182	61.1	26.17834395	1	1997	9	0	0
Larissa	183	183	52.1	20.32484076	1	1998	11	0	0
Larissa	184	184	72.7	29.14012739	1	1998	5	0	0
Larissa	185	185	55	23.06050955	1	1998	11	0	0
Larissa	186	186	58.8	21.91719745	1	1998	9	0	2
Larissa	187	187	57.6	24.34713376	1	1998	10	0	0
Larissa	188	188	45	19.17834395	1	1999	5	0	2
Larissa	189	189	48.6	20.13375796	1	1999	6	0	2
Larissa	190	190	58.5	22.50636943	1	2004	7	0	1
Larissa	191	191	57.2	24.25159236	1	1996	9	0	0
Larissa	192	192	55.3	20.72929936	1	1996	8	0	0
Larissa	193	193	84.89144068	33.60786667	1	2006	17	0	0
Larissa	194	194	58.9	23.27070064	1	2004	13	0	2
Larissa	195	195	55.1	21.60828025	1	2006	9	0	2
Larissa	196	196	64.8	26.32802548	1	2007	9	0	2
Larissa	197	197	54.7	22.28025478	1	1998	12	0	2
Larissa	198	198	54.5	21.61146497	1	1997	6	0	0
Larissa	199	199	50.6	18.63	1	2004	6	0	0
Larissa	200	200	53.5	23.87579618	1	1997	7	0	0
Larissa	201	201	63	26.72292994	1	2008	7	0	2
Larissa	202	202	53.9	20.30254777	1	2010	10	0	2
Larissa	203	203	60.2	23.58917197	1	2004	12	0	0
Larissa	204	204	61.8	22.62101911	1	2004	5	0	2
Larissa	205	205	47.7	18.17197452	1	1999	7	0	2
Larissa	206	206	51.8	20.00955414	1	2000	8	0	2
Larissa	207	207	59.5	22.71019108	1	1998	8	0	2
Larissa	208	208	73	26.24203822	1	1998	5	0	0
Larissa	209	209	66.2	25.07643312	1	1999	5	0	1
Larissa	210	210	52.3	20.94267516	1	1999	6	0	2
Larissa	211	211	48.3	18.50318471	1	2010	9	0	0
Larissa	212	212	60.7	22.33757962	1	2003	7	0	0
Larissa	213	213	48.8	20.39171975	1	2009	6	0	0
Larissa	214	214	44.7	16.6433121	1	1998	7	0	0
Larissa	215	215	63.6	23.1433121	1	2005	12	0	2
Larissa	216	216	63.5	24.07324841	1	2004	9	0	0
Larissa	217	217	55.6	21.2133758	1	2004	11	0	0
Larissa	218	218	62.8	26.88123086	1	2004	8	0	0
Larissa	219	219	59	22.35987261	1	2003	10	0	0
Larissa	220	220	87	34.06348063	1	2000	10	0	1
Larissa	221	221	56.7	21.7866242	1	1998	9	0	0
Larissa	222	222	63.7	23.22999023	1	1998	12	0	0
Larissa	223	223	46.5	18.0955414	1	1998	9	0	1
Larissa	224	224	50.6	20.03503185	1	2001	6	0	0
Larissa	225	225	58.5	23.24840764	1	2002	11	0	0
Larissa	226	226	63.4	24.2108261	1	2004	7	0	1
Larissa	227	227	62	22.74273628	1	2004	11	0	0
Larissa	228	228	56.6	21.11146497	1	2004	11	0	2
Larissa	229	229	62	26.64968153	1	2004	13	0	2
Larissa	230	230	86.8	35.46829072	1	2006	9	0	1
Larissa	231	231	48.5	19.71656051	1	2006	8	0	2
Larissa	232	232	61.4	23.12101911	1	1999	5	0	2
Larissa	233	233	49.5	19.07324841	1	2007	13	0	0
Larissa	234	234	72.2	27.71974522	1	1998	10	0	2
Larissa	235	235	68.4	23.67197452	1	1998	19	0	2
Larissa	236	236	79	32.47133758	1	1999	10	0	0
Larissa	237	237	67.3	26.77707006	1	1997	10	0	2
Larissa	238	238	66.2	27.03503185	1	1998	9	0	2
Larissa	239	240	82.6	33.00955414	1	2005	14	0	1
Larissa	240	241	85.7	31.28343949	1	2011	14	0	0
Larissa	241	242	94.5	32.67515924	1	2004	10	0	0
Larissa	242	243	84.2	31.18789809	1	2008	13	0	0
Larissa	243	244	73	25.61783439	1	1999	6	0	2
Larissa	244	245	82.7	31.92356688	1	2010	10	0	0
Larissa	245	247	89.3	33.19745223	1	2007	19	0	0
Larissa	246	249	94.7	36.1910828	1	2004	13	0	0
Larissa	247	250	92	35.38216561	1	2009	13	0	1
Larissa	248	251	90.2	37.63694268	1	2007	12	0	1
Larissa	249	252	99.7	36.35031847	1	2003	12	0	1
Larissa	250	253	92.7	35.28025478	1	2002	15	0	0
Larissa	251	254	99.5	40.09235669	1	2004	18	0	1
Larissa	252	255	91.9	37.79299363	1	2006	22	0	1
Larissa	253	256	97.2	39.50318471	1	2001	10	0	1
Larissa	254	257	103	37.18471338	1	2004	19	0	0
Larissa	255	258	92.4	33.98089172	1	2011	14	0	0
Larissa	256	259	101.5	38.29617834	1	2009	16	0	1
Larissa	257	260	100.2	34.60509554	1	2011	20	0	0
Larissa	258	261	99.2	36.87898089	1	2008	30	0	1
