McNeillID	RecapID	delT	SCL	delL	ChascoID	
5	1	0	53.1	0	1
5	2	35	53.1	0	1
7	1	0	72.2	0	2
7	2	333	74.3	2.1	2
7	3	28	74.3	0	2
19	1	0	59.5	0	3
19	2	770	63.6	4.1	3
20	1	0	52.3	0	4
20	2	2090	66.1	13.8	4
39	1	0	50.3	0	5
39	2	17	50	-0.3	5
49	1	0	62.1	0	6
49	2	929	72.7	10.6	6
57	1	0	62.5	0	7
57	2	14	62.4	-0.1	7
69	1	0	61.1	0	8
69	2	20	61.3	0.2	8
72	1	0	56	0	9
72	2	22	56	0	9
80	1	0	58.9	0	10
80	2	1866	70.2	11.3	10
82	1	0	45.1	0	11
82	2	353	52.2	7.1	11
92	1	0	46.9	0	12
92	2	1298	58.5	11.6	12
95	1	0	75.8	0	13
95	2	378	77.8	2	13
101	1	0	45.4	0	14
101	2	90	45.7	0.3	14
125	1	0	63.1	0	15
125	2	1850	74.1	11	15
127	1	0	50.6	0	16
127	2	1062	57.6	7	16
138	1	0	50.7	0	17
138	2	560	53.5	2.8	17
141	1	0	55.4	0	18
141	2	1102	70.8	15.4	18
143	1	0	60	0	19
143	2	232	60.3	0.3	19
143	3	1933	68.9	8.6	19
143	4	1083	70.5	1.6	19
143	5	375	70.6	0.1	19
151	1	0	53.5	0	20
151	2	602	58.9	5.4	20
151	3	38	59.1	0.2	20
151	4	49	61.5	2.4	20
151	5	326	65.8	4.3	20
151	6	427	71.6	5.8	20
171	1	0	57.6	0	21
171	2	5	57.7	0.1	21
175	1	0	59.7	0	22
175	2	13	59.7	0	22
176	1	0	71.8	0	23
176	2	35	71.8	0	23
179	1	0	81	0	24
179	2	9	81	0	24
196	1	0	56.9	0	25
196	2	20	56.9	0	25
198	1	0	92.5	0	26
198	2	236	91.5	-1	26
226	1	0	55.5	0	27
226	2	2069	66.8	11.3	27
226	3	35	67	0.2	27
226	4	59	67	0	27
226	5	260	67.6	0.6	27
226	6	24	67.9	0.3	27
226	7	298	69.3	1.4	27
226	8	63	69.3	0	27
229	1	0	63.4	0	28
229	2	31	63.5	0.1	28
235	1	0	60.7	0	29
235	2	963	64.5	3.8	29
235	3	1600	73.9	9.4	29
235	4	203	74.4	0.5	29
235	5	7	74.6	0.2	29
235	6	438	75.5	0.9	29
238	1	0	51.3	0	30
238	2	1106	54	2.7	30
241	1	0	64.8	0	31
241	2	630	64.9	0.1	31
263	1	0	64.2	0	32
263	2	286	66.5	2.3	32
273	1	0	55.1	0	33
273	2	30	55.4	0.3	33
277	1	0	62.4	0	34
277	2	557	63.6	1.2	34
288	1	0	57.9	0	35
288	2	182	59.5	1.6	35
307	1	0	75.7	0	36
307	2	1362	76.4	0.7	36
313	1	0	60	0	37
313	2	751	65.8	5.8	37
314	1	0	67.5	0	38
314	2	717	68.7	1.2	38
326	1	0	68.3	0	39
326	2	204	68	-0.3	39
329	1	0	58.9	0	40
329	2	347	63.8	4.9	40
337	1	0	50.7	0	41
337	2	1106	58.3	7.6	41
337	3	179	58.3	0	41
338	1	0	59.2	0	42
338	2	1155	70.4	11.2	42
338	3	330	72.1	1.7	42
344	1	0	62.1	0	43
344	2	981	64.6	2.5	43
345	1	0	56.2	0	44
345	2	607	61.4	5.2	44
352	1	0	59.5	0	45
352	2	725	64.5	5	45
353	1	0	54.3	0	46
353	2	7	53.7	-0.6	46
367	1	0	50	0	47
367	2	360	50.3	0.3	47
367	3	1338	62.4	12.1	47
367	4	714	70.7	8.3	47
369	1	0	54.2	0	48
369	2	2893	70.5	16.3	48
380	1	0	61.6	0	49
380	2	1	61.6	0	49
390	1	0	62.7	0	50
390	2	582	68.2	5.5	50
400	1	0	59.2	0	51
400	2	6	58.8	-0.4	51
400	3	5	58.3	-0.5	51
402	1	0	73.3	0	52
402	2	143	74	0.7	52
404	1	0	65	0	53
404	2	6	64.6	-0.4	53
410	1	0	67	0	54
410	2	2	67.1	0.1	54
427	1	0	77.6	0	55
427	2	56	78.2	0.6	55
430	1	0	57	0	56
430	2	2469	79.6	22.6	56
432	1	0	63.2	0	57
432	2	1054	65.5	2.3	57
432	3	4	66.4	0.9	57
437	1	0	53.8	0	58
